Order,Round,Away Team,Home Team,Date,Start Time,End Time,Location,Field
1,1,F2 - Saenz,F1 - Neff,2/27/23,19:00,21:00,Floresville Sports Complex,Emergency Care of Floresville
2,1,New Braunfels 2,F2 - Saenz,3/3/23,19:00,21:00,Floresville Sports Complex,Emergency Care of Floresville
3,2,F1 - Neff,New Braunfels 2,3/4/23,11:00,13:00,New Braunfels,Field 5
4,2,F2 - Saenz,F1 - Neff,3/6/23,19:00,21:00,Floresville Sports Complex,Emergency Care of Floresville
5,2,La Vernia,F2 - Saenz,3/9/23,19:00,21:00,Floresville Sports Complex,Emergency Care of Floresville
6,2,New Braunfels 2,F1 - Neff,3/10/23,19:00,21:00,Floresville Sports Complex,Emergency Care of Floresville
7,4,F1 - Neff,La Vernia,3/20/23,19:00,21:00,La Vernia,A Field
8,4,F1 - Neff,F2 - Saenz,3/25/23,19:00,21:00,Floresville Sports Complex,Emergency Care of Floresville
9,4,F2 - Saenz,La Vernia,3/27/23,19:00,21:00,La Vernia,A Field
10,4,La Vernia,F1 - Neff,3/30/23,19:00,21:00,Floresville Sports Complex,Emergency Care of Floresville
11,4,New Braunfels 1,F2 - Saenz,3/31/23,19:00,21:00,Floresville Sports Complex,Emergency Care of Floresville
12,5,F2 - Saenz,La Vernia,4/6/23,19:00,21:00,La Vernia,A Field
13,8,F1 - Neff,F2 - Saenz,4/10/23,19:00,21:00,Floresville Sports Complex,Emergency Care of Floresville
14,8,F2 - Saenz,New Braunfels 2,4/15/23,10:00,12:00,New Braunfels,Field 5
15,8,F2 - Saenz,New Braunfels 1,4/15/23,12:00,14:00,New Braunfels,Field 5
16,8,F1 - Neff,New Braunfels 1,4/15/23,14:00,16:00,New Braunfels,Field 5
17,9,F1 - Neff,La Vernia,4/17/23,19:00,21:00,La Vernia,A Field
18,9,New Braunfels 1,F1 - Neff,4/21/23,19:00,21:00,Floresville Sports Complex,Emergency Care of Floresville
19,10,La Vernia,F2 - Saenz,4/28/23,19:00,21:00,Floresville Sports Complex,Emergency Care of Floresville
20,10,La Vernia,F1 - Neff,5/5/23,19:00,21:00,Floresville Sports Complex,Emergency Care of Floresville
